,FEATURE 1,FEATURE 2,FEATURE 3,FEATURE 4,FEATURE 5,RANDOM,NEW SIGNAL,OUTPUT,No New Signal
TIME,Linear,High Cyclical,Low Cyclical,Logarithmic,Square Root,Extra Noise,Quadratic,"Coeff = [.25, 10,8,8,3,1, .01]","Coeff = [.25, 10,8,8,3,1]"
1,1,0.342020143,0.034899497,0,1,1.157935619,0,8.07243353,8.07243353
2,2,0.64278761,0.069756474,0.693147181,1.414213562,0.515908431,0,17.71989798,17.71989798
3,3,0.866025404,0.104528463,1.098612289,1.732050808,2.881606619,0,27.00861063,27.00861063
4,4,0.984807753,0.139173101,1.386294361,2,1.383983877,0,30.296628,30.296628
5,5,0.984807753,0.173648178,1.609437912,2.236067977,2.572202326,0,34.46952433,34.46952433
6,6,0.866025404,0.207911691,1.791759469,2.449489743,1.586293228,0,34.88447408,34.88447408
7,7,0.64278761,0.241921896,1.945910149,2.645751311,3.207858129,0,36.58372262,36.58372262
8,8,0.342020143,0.275637356,2.079441542,2.828427125,1.193759106,0,33.66423574,33.66423574
9,9,1.22515E-16,0.309016994,2.197224577,3,2.315001598,0,33.30591718,33.30591718
10,10,-0.342020143,0.342020143,2.302585093,3.16227766,2.353583558,0,31.73503685,31.73503685
11,11,-0.64278761,0.374606593,2.397895273,3.31662479,2.508507414,0,30.58591402,30.58591402
12,12,-0.866025404,0.406736643,2.48490665,3.464101615,2.975871352,0,30.43433186,30.43433186
13,13,-0.984807753,0.438371147,2.564949357,3.605551275,0.421489518,0,28.2282587,28.2282587
14,14,-0.984807753,0.469471563,2.63905733,3.741657387,0.490516777,0,29.76617098,29.76617098
15,15,-0.866025404,0.5,2.708050201,3.872983346,0.41440898,0,32.28750659,32.28750659
16,16,-0.64278761,0.529919264,2.772588722,4,1.143747467,0,36.606016,36.606016
17,17,-0.342020143,0.559192903,2.833213344,4.123105626,1.355096206,0,41.13426873,41.13426873
18,18,-2.4503E-16,0.587785252,2.890371758,4.242640687,3.710539017,0,48.17593191,48.17593191
19,19,0.342020143,0.615661475,2.944438979,4.358898944,0.057567679,0,49.1696081,49.1696081
20,20,0.64278761,0.64278761,2.995732274,4.472135955,3.111678937,0,56.42133435,56.42133435
21,21,0.866025404,0.669130606,3.044522438,4.582575695,0.528613251,0,57.22668812,57.22668812
22,22,0.984807753,0.69465837,3.091042453,4.69041576,2.683222161,0,61.69349519,61.69349519
23,23,0.984807753,0.7193398,3.135494216,4.795831523,1.470825177,0,61.57572961,61.57572961
24,24,0.866025404,0.743144825,3.17805383,4.898979486,0.046389832,0,60.03002675,60.03002675
25,25,0.64278761,0.766044443,3.218875825,5,0.949056946,0,59.74025074,59.74025074
26,26,0.342020143,0.788010754,3.258096538,5.099019514,2.52418729,1,59.33229484,59.32229484
27,27,3.67545E-16,0.809016994,3.295836866,5.196152423,1.412722449,4,55.82099361,55.78099361
28,28,-0.342020143,0.829037573,3.33220451,5.291502622,3.77511946,9,55.78032498,55.69032498
29,29,-0.64278761,0.848048096,3.36729583,5.385164807,1.793110156,16,51.80543179,51.64543179
30,30,-0.866025404,0.866025404,3.401197382,5.477225575,0.633432744,25,49.42661231,49.17661231
31,31,-0.984807753,0.882947593,3.433987204,5.567764363,1.231401819,36,49.84914816,49.48914816
32,32,-0.984807753,0.898794046,3.465735903,5.656854249,1.212846481,49,50.84277725,50.35277725
33,33,-0.866025404,0.913545458,3.496507561,5.744562647,3.492815298,64,55.32312789,54.68312789
34,34,-0.64278761,0.927183855,3.526360525,5.830951895,3.29265419,81,58.36880496,57.55880496
35,35,-0.342020143,0.939692621,3.555348061,5.916079783,3.258377507,100,62.35704826,61.35704826
36,36,-4.90059E-16,0.951056516,3.583518938,6,3.288729138,121,66.82427626,65.61427626
37,37,0.342020143,0.961261696,3.610917913,6.08276253,3.977526378,144,71.95219057,70.51219057
38,38,0.64278761,0.970295726,3.63758616,6.164414003,3.733151872,169,75.73702934,74.04702934
39,39,0.866025404,0.978147601,3.663561646,6.244997998,3.594661512,196,78.85543592,76.89543592
40,40,0.984807753,0.984807753,3.688879454,6.32455532,2.259204367,225,79.73563776,77.48563776
41,41,0.984807753,0.990268069,3.713572067,6.403124237,1.317581611,256,79.82548487,77.26548487
42,42,0.866025404,0.994521895,3.737669618,6.480740698,3.192916142,289,81.54840249,78.65840249
43,43,0.64278761,0.99756405,3.761200116,6.557438524,3.024212279,324,80.18695323,76.94695323
44,44,0.342020143,0.999390827,3.784189634,6.633249581,2.644118409,361,77.84332144,74.23332144
45,45,6.12574E-16,1,3.80666249,6.708203932,2.31829561,400,75.14620733,71.14620733
46,46,-0.342020143,0.999390827,3.828641396,6.782329983,3.637965225,441,74.0996207,69.6896207
47,47,-0.64278761,0.99756405,3.850147602,6.8556546,3.730977694,484,72.24419456,67.40419456
48,48,-0.866025404,0.994521895,3.871201011,6.92820323,3.447971878,529,70.79358889,65.50358889
49,49,-0.984807753,0.990268069,3.891820298,7,0.679527706,576,67.90788904,62.14788904
50,50,-0.984807753,0.984807753,3.912023005,7.071067812,1.439944964,625,69.74490918,63.49490918
51,51,-0.866025404,0.978147601,3.931825633,7.141428429,2.558166848,676,73.13383636,66.37383636
52,52,-0.64278761,0.970295726,3.951243719,7.211102551,3.194740575,729,77.09219196,69.80219196
53,53,-0.342020143,0.961261696,3.970291914,7.280109889,0.344893478,784,78.34618889,70.50618889
54,54,-7.35089E-16,0.951056516,3.988984047,7.348469228,2.92584983,841,85.4505255,77.0405255
55,55,0.342020143,0.939692621,4.007333185,7.416198487,1.730282751,900,88.78559347,79.78559347
56,56,0.64278761,0.927183855,4.025351691,7.483314774,0.591080261,961,91.77200119,82.16200119
57,57,0.866025404,0.913545458,4.043051268,7.549834435,3.428656497,1024,97.96764219,87.72764219
58,58,0.984807753,0.898794046,4.060443011,7.615773106,2.125881865,1089,98.98638112,88.09638112
59,59,0.984807753,0.882947593,4.077537444,7.681145748,1.884688865,1156,99.88713634,88.32713634
60,60,0.866025404,0.866025404,4.094344562,7.745966692,3.70488917,1225,101.6699776,89.41997761
61,61,0.64278761,0.848048096,4.110873864,7.810249676,3.474462608,1296,100.3664153,87.40641532
62,62,0.342020143,0.829037573,4.127134385,7.874007874,3.060858933,1369,98.11342208,84.42342208
63,63,8.57604E-16,0.809016994,4.143134726,7.937253933,0.497256152,1444,93.30721472,78.86721472
64,64,-0.342020143,0.788010754,4.158883083,8,0.828981087,1521,91.4059196,76.1959196
65,65,-0.64278761,0.766044443,4.17438727,8.062257748,1.844753761,1600,90.61106017,74.61106017
66,66,-0.866025404,0.743144825,4.189654742,8.124038405,0.485020139,1681,88.22613303,71.41613303
67,67,-0.984807753,0.7193398,4.204692619,8.185352772,3.387355103,1764,91.15825545,73.51825545
68,68,-0.984807753,0.69465837,4.219507705,8.246211251,2.460180371,1849,91.45940683,72.96940683
69,69,-0.866025404,0.669130606,4.234106505,8.306623863,0.404686059,1936,91.83106989,72.47106989
70,70,-0.64278761,0.64278761,4.248495242,8.366600265,2.363812718,2025,97.27321262,77.02321262
71,71,-0.342020143,0.615661475,4.262679877,8.426149773,1.754194124,2116,100.9335114,79.77351135
72,72,-9.80119E-16,0.587785252,4.276666119,8.485281374,3.633320954,2209,107.5069908,85.41699079
73,73,0.342020143,0.559192903,4.290459441,8.544003745,3.424121722,2304,112.0043602,88.96436024
74,74,0.64278761,0.529919264,4.304065093,8.602325267,3.056660465,2401,115.943468,91.93346796
75,75,0.866025404,0.5,4.317488114,8.660254038,3.518082858,2500,119.9490039,94.94900392
76,76,0.984807753,0.469471563,4.33073334,8.717797887,2.125757713,2601,121.0693966,95.05939657
77,77,0.984807753,0.438371147,4.343805422,8.774964387,2.2149064,2704,122.4969185,95.45691849
78,78,0.866025404,0.406736643,4.356708827,8.831760866,2.585889201,2809,123.032253,94.94225295
79,79,0.64278761,0.374606593,4.369447852,8.888194417,3.90409186,2916,123.4843802,94.32438018
80,80,0.342020143,0.342020143,4.382026635,8.94427191,2.410916034,3025,120.3642873,90.11428728
81,81,4.65535E-15,0.309016994,4.394449155,9,0.087764728,3136,116.0164769,84.65647693
82,82,-0.342020143,0.275637356,4.406719247,9.055385138,3.046405456,3249,116.9655749,84.47557491
83,83,-0.64278761,0.241921896,4.418840608,9.110433579,3.852222772,3364,116.1898255,82.54982554
84,84,-0.866025404,0.207911691,4.430816799,9.16515139,2.187327112,3481,113.7344435,78.92444347
85,85,-0.984807753,0.173648178,4.442651256,9.219544457,3.38051503,3600,115.1978182,79.19781817
86,86,-0.984807753,0.139173101,4.454347296,9.273618495,3.733412039,3721,117.0251801,79.81518007
87,87,-0.866025404,0.104528463,4.465908119,9.327379053,2.726172086,3844,118.6970194,80.2570194
88,88,-0.64278761,0.069756474,4.477336814,9.38083152,3.297320912,3969,123.0089292,83.31892921
89,89,-0.342020143,0.034899497,4.48863637,9.433981132,2.549761397,4096,126.7948908,85.83489079
90,90,-1.22515E-15,1.22515E-16,4.49980967,9.486832981,2.74075237,4225,131.9497287,89.69972867
