AllFuelsGen,CoalGen,PetroleumGen,NatGasGen,OtherGasGen,NuclearGen,HydroGen,RenewablesGen,HydroStorageGen,OtherGen,GeothermalGen,IndepGen,GDP,AvgTemp,AvgMaxTemp,AvgRelHum,Price,HydroCons,GeoCons,SolarCons,WindCons,WoodCons,WasteCons,BiofuelsCons,BiomassCons,RenCons,NatGasPrice,ResNatGasPrice,CommNatGasPrice,IndNatGasPrice,ElecPowerNatGasPrice,ElecPowerElecNetGen,CommElecNetGen,IndElecNetGen,TotElecNetGen,ElecImports,ElecExports,ElecNetImports,TDLosses,RetailElecSales,DirectElecUse,EndElecUse,ResPrice,CommPrice,IndPrice,AvgRetailPrice,ResNatGasCons,CommNatGasCons,IndLPNatGasCons,OtherIndNatGasCons,OtherNonCHPIndNatGasCons,TotIndOtherNatGasCons,TotIndNatGasCons,PDTransNatGasCons,FuelTransNatGasCons,TotTransNatGasCons,ElecPowerNatGasCons,TotNatGasCons,ElecCoalCons,ElecNatGasCons,TotRetailElecSales,TotCoalCons,CA_GDP,CoalCap,LargeHydroCap,NatGasCap,NuclearCap,OilCap,BiomassCap,GeothermalCap,SmallHydroCap,SolarPVCap,SolarThermalCap,WindCap,TotalElecCap
16618.89,199.86,263.92,10192.49,97.57,2380.00,1590.10,1717.40,-36.26,18.03,1085.73,1085.78,1638.07,52.22,60.48,51.45,8.71,194.80,14.61,3.10,4.02,175.98,30.81,23.74,230.53,447.07,8.91,10.12,9.50,8.84,9.55,318.74,0.63,13.13,332.49,3.42,1.55,1.87,9.22,310.85,14.29,325.14,7.73,7.25,4.75,6.75,976.68,500.27,95.60,110.93,575.61,686.54,782.14,76.39,1.24,77.62,340.29,2677.00,85.43,94388.27,21744.32,154.43,1638.07,429.00,11848.00,30375.00,4456.00,565.00,1143.00,2625.00,1751.00,2.00,410.00,1534.00,55364.00
14380.39,184.14,175.65,8870.58,101.84,2229.87,1290.01,1504.66,-172.96,17.30,951.16,951.21,1637.15,50.04,57.29,71.37,9.63,180.55,12.81,3.40,4.46,155.97,27.21,20.08,203.26,404.48,7.08,10.26,9.80,7.21,7.18,270.97,0.55,11.42,282.94,3.32,2.85,0.46,-1.35,272.32,12.43,284.76,8.04,7.51,4.81,6.87,780.48,422.41,86.82,98.42,541.61,640.03,726.85,65.77,1.12,66.89,312.84,2309.46,82.33,82259.19,18305.56,138.33,1637.15,429.00,11836.75,30567.83,4456.00,563.08,1142.67,2624.83,1750.42,2.00,407.33,1534.83,55540.83
15848.63,102.50,119.55,9474.18,103.13,2468.63,1764.77,1788.32,-152.66,16.49,1052.63,1052.67,1636.24,56.12,67.10,77.43,9.89,211.59,14.21,4.83,5.50,168.14,30.32,21.55,220.01,456.13,6.10,9.85,9.14,6.30,5.91,287.70,0.55,12.45,300.71,3.53,1.79,1.73,19.62,269.32,13.51,282.83,8.32,7.70,4.87,7.01,681.88,375.69,96.44,107.76,557.16,664.92,761.36,63.63,1.24,64.86,362.84,2246.63,43.27,87836.61,21351.41,108.27,1636.24,429.00,11825.50,30760.67,4456.00,561.17,1142.33,2624.67,1749.83,2.00,404.67,1535.67,55717.67
15841.02,205.59,90.02,9208.77,92.26,2318.67,2096.46,1797.49,-143.87,13.42,966.04,966.08,1635.32,54.87,65.57,72.80,9.88,186.13,13.16,5.37,7.08,163.97,30.12,18.71,212.80,424.53,6.30,10.16,9.01,6.08,5.82,265.86,0.55,11.67,278.08,3.79,1.42,2.38,13.43,254.33,12.70,267.02,8.46,7.73,4.87,7.02,400.73,255.36,92.60,100.58,521.48,622.05,714.66,50.74,1.20,51.93,384.49,1807.17,90.97,84775.23,18855.60,155.97,1635.32,429.00,11814.25,30953.50,4456.00,559.25,1142.00,2624.50,1749.25,2.00,402.00,1536.50,55894.50
16874.50,200.48,103.19,9698.87,108.04,1667.93,3045.22,1831.97,34.61,16.19,960.34,960.37,1634.40,66.45,81.29,72.58,9.82,198.14,12.98,6.32,6.56,161.46,29.83,19.58,210.86,434.87,5.77,11.14,9.19,5.46,5.29,288.17,0.58,11.75,300.49,4.42,1.55,2.87,26.11,264.44,12.80,277.25,8.83,7.77,5.00,7.17,209.33,164.15,94.98,103.46,473.07,576.53,671.51,42.24,1.24,43.47,433.92,1522.38,86.68,87603.94,19862.26,149.68,1634.40,429.00,11803.00,31146.33,4456.00,557.33,1141.67,2624.33,1748.67,2.00,399.33,1537.33,56071.33
18071.78,215.80,55.43,9350.11,99.96,3100.80,3053.90,1982.98,24.60,18.23,960.21,960.24,1633.49,72.16,86.67,56.36,11.34,214.18,13.09,6.48,6.92,163.77,30.13,16.69,210.60,451.26,5.38,11.58,8.50,4.75,4.37,315.15,0.60,11.95,327.69,3.70,1.28,2.42,27.10,289.98,13.03,303.01,9.07,8.13,5.23,7.58,146.84,135.45,91.22,105.23,431.59,536.82,628.04,40.04,1.20,41.24,492.82,1444.38,93.18,87720.22,21194.24,158.18,1633.49,429.00,11791.75,31339.17,4456.00,555.42,1141.33,2624.17,1748.08,2.00,396.67,1538.17,56248.17
19794.56,223.66,47.05,10845.77,107.27,3294.61,3002.48,2063.54,-0.67,17.68,1048.48,1048.51,1632.57,71.29,88.23,61.81,13.47,186.81,14.09,6.76,6.56,169.42,31.40,23.40,224.22,438.44,4.03,11.22,7.90,4.10,3.85,343.83,0.73,13.05,357.61,3.52,1.17,2.35,29.80,315.85,14.31,330.16,9.03,8.41,5.56,7.87,123.78,130.42,93.64,113.69,456.38,570.07,663.70,44.52,1.24,45.75,634.43,1598.07,96.16,97027.33,21538.59,164.16,1632.57,429.00,11780.50,31532.00,4456.00,553.50,1141.00,2624.00,1747.50,2.00,394.00,1539.00,56425.00
20307.44,226.38,19.50,11506.27,102.43,3280.14,2809.36,2040.65,135.80,19.13,1037.35,1037.37,1631.65,75.85,92.65,50.92,13.12,195.44,13.97,6.63,5.96,173.36,31.26,18.94,223.55,445.55,4.32,10.89,7.61,3.99,3.65,356.15,0.81,13.57,370.53,3.75,1.16,2.59,25.93,332.26,14.94,347.19,9.01,8.35,5.49,7.84,116.93,133.69,94.09,118.55,471.32,589.88,683.96,46.61,1.24,47.84,686.75,1669.18,101.18,104532.24,23772.49,169.18,1631.65,429.00,11769.25,31724.83,4456.00,551.58,1140.67,2623.83,1746.92,2.00,391.33,1539.83,56601.83
16852.63,182.55,15.85,9412.64,78.93,3163.65,2028.14,1843.36,-41.53,15.90,1020.04,1020.04,1630.73,73.05,89.63,56.45,13.13,157.64,13.62,5.91,5.07,163.67,29.56,20.37,213.59,395.83,3.66,10.17,6.96,3.50,3.03,293.88,0.64,12.41,306.93,1.94,1.32,0.62,-2.05,296.04,13.55,309.59,8.92,8.22,5.30,7.62,127.48,143.34,91.76,112.26,466.33,578.59,670.35,41.50,1.20,42.69,510.26,1494.13,77.19,88068.69,20600.90,142.19,1630.74,429.00,11758.00,31917.67,4456.00,549.67,1140.33,2623.67,1746.33,2.00,388.67,1540.67,56778.67
15929.26,137.02,15.36,8943.00,66.82,2960.69,1819.15,1759.08,8.80,16.87,1022.34,1022.34,1629.82,67.77,82.61,59.15,12.74,157.42,13.91,4.99,6.27,174.18,30.48,25.01,229.68,412.27,3.37,8.24,6.39,3.18,2.78,281.39,0.62,12.72,294.73,1.78,0.80,0.98,14.26,267.60,13.86,281.46,8.84,8.27,5.06,7.43,237.47,185.36,95.68,114.31,502.98,617.29,712.97,45.97,1.24,47.20,466.08,1649.07,63.01,79809.46,21599.96,118.01,1629.82,429.00,11746.75,32110.50,4456.00,547.75,1140.00,2623.50,1745.75,2.00,386.00,1541.50,56955.50
