Month,Price
2001-01-01,8.71
2001-02-01,9.63
2001-03-01,9.89
2001-04-01,9.88
2001-05-01,9.82
2001-06-01,11.34
2001-07-01,13.47
2001-08-01,13.12
2001-09-01,13.13
2001-10-01,12.74
2001-11-01,11.16
2001-12-01,11.07
2002-01-01,11.32
2002-02-01,11.17
2002-03-01,11.35
2002-04-01,10.99
2002-05-01,12.11
2002-06-01,12.75
2002-07-01,13.77
2002-08-01,13.27
2002-09-01,12.24
2002-10-01,12.68
2002-11-01,12.09
2002-12-01,11.94
2003-01-01,11.52
2003-02-01,11.65
2003-03-01,10.62
2003-04-01,11.73
2003-05-01,12.15
2003-06-01,13.0
2003-07-01,13.84
2003-08-01,12.73
2003-09-01,10.24
2003-10-01,10.72
2003-11-01,11.65
2003-12-01,11.26
2004-01-01,11.08
2004-02-01,11.41
2004-03-01,10.98
2004-04-01,10.23
2004-05-01,10.86
2004-06-01,11.91
2004-07-01,12.39
2004-08-01,12.16
2004-09-01,11.97
2004-10-01,11.48
2004-11-01,11.26
2004-12-01,10.08
2005-01-01,10.85
2005-02-01,11.21
2005-03-01,10.44
2005-04-01,10.91
2005-05-01,11.19
2005-06-01,12.5
2005-07-01,13.16
2005-08-01,12.7
2005-09-01,12.29
2005-10-01,11.27
2005-11-01,11.14
2005-12-01,11.15
2006-01-01,11.25
2006-02-01,11.72
2006-03-01,11.69
2006-04-01,12.04
2006-05-01,12.31
2006-06-01,13.9
2006-07-01,15.17
2006-08-01,13.96
2006-09-01,13.85
2006-10-01,12.16
2004-05-01,12.38
2006-12-01,12.14
2007-01-01,12.42
2007-02-01,11.98
2007-03-01,11.89
2007-04-01,11.74
2007-05-01,12.24
2007-06-01,13.66
2007-07-01,14.08
2007-08-01,13.99
2007-09-01,13.85
2007-10-01,12.61
2007-11-01,12.29
2007-12-01,11.97
2008-01-01,11.55
2008-02-01,11.55
2008-03-01,11.46
2008-04-01,11.23
2008-05-01,12.01
2008-06-01,13.67
2008-07-01,13.62
2008-08-01,14.07
2008-09-01,13.32
2008-10-01,12.47
2008-11-01,12.48
2008-12-01,11.64
2009-01-01,12.33
2009-02-01,12.26
2009-03-01,12.19
2009-04-01,12.17
2009-05-01,13.16
2009-06-01,14.13
2009-07-01,15.0
2009-08-01,14.91
2009-09-01,14.72
2009-10-01,13.23
2009-11-01,11.36
2009-12-01,12.21
2010-01-01,12.29
2010-02-01,11.83
2010-03-01,12.18
2010-04-01,11.79
2010-05-01,12.66
2010-06-01,13.91
2010-07-01,14.39
2010-08-01,14.28
2010-09-01,14.32
2010-10-01,13.09
2010-11-01,12.39
2010-12-01,12.17
2011-01-01,12.4
2011-02-01,12.21
2011-04-01,11.91
2011-04-01,12.09
2011-05-01,12.64
2011-06-01,13.96
2011-07-01,14.64
2011-08-01,14.23
2011-09-01,13.97
2011-10-01,13.24
2011-11-01,12.52
2011-12-01,12.03
2012-01-01,12.74
2012-02-01,12.46
2012-03-01,12.31
2012-04-01,12.37
2012-05-01,12.87
2012-06-01,14.67
2012-07-01,14.26
2012-08-01,15.2
2012-09-01,15.51
2012-10-01,13.29
2012-11-01,12.88
2012-12-01,12.67
2013-01-01,13.03
2013-02-01,12.98
2013-03-01,12.84
2013-04-01,12.98
2013-05-01,13.8
2013-06-01,15.84
2013-07-01,15.78
2013-08-01,15.66
2013-09-01,15.66
2013-10-01,14.64
2013-11-01,14.02
2013-12-01,13.23
2014-01-01,13.86
2014-02-01,13.65
2014-03-01,13.59
2014-04-01,11.74
2014-05-01,14.47
2014-06-01,15.99
2014-07-01,17.05
2014-08-01,17.25
2014-09-01,17.3
2014-10-01,15.36
2014-11-01,15.16
2014-12-01,14.46
