Month,Price,f6_GenCalifornia.other.gases,f16_Av.Temp,f23_GeoConsump,f26_WoodConsump,f38_Natural.Gas.Price.Electric.Power.Sector,f48_Electricity.Retail.Sales,f60_Natural.Gas.Consumed.Other.Industrial.Sector,f64_Natural.Gas.Consumed.Transportation.Sector.Vehicle.Fuel.
2002-01,11.32,103.435,54.04,15.114,169.367,3.1,290.967,572.219,1.27
2002-02,11.17,79.38,59.6,13.339,148.458,2.86,263.728,532.753,1.147
2002-03,11.35,115.71,55.29,14.682,159.644,3.37,267.46,548.963,1.27
2002-04,10.99,114.715,57.28,13.292,158.336,3.8,257.946,549.173,1.229
2002-05,12.11,105.9,61.9,14.386,168.013,3.78,269.323,504.847,1.27
2002-06,12.75,144.882,68.62,13.659,159.326,3.61,296.47,493.255,1.229
2002-07,13.77,143.046,74.71,14.857,176.434,3.49,337.285,495.097,1.27
2002-08,13.27,92.55,77,14.5,163.556,3.42,338.115,503.879,1.27
2002-09,12.24,87.389,75.87,14.109,171.211,3.71,310.498,472.413,1.229
2002-10,12.68,100.201,61.68,14.581,180.316,4.19,284.178,516.017,1.27
2002-11,12.09,61.953,64.02,14.051,166.492,4.35,263.034,534.879,1.229
2002-12,11.94,90.892,53.09,14.594,174.133,4.72,286.462,563.48,1.27
2003-01,11.52,105.751,63.38,15.061,169.564,5.33,304.263,581.468,1.552
2003-02,11.65,101.054,53.72,13.547,153.718,6.47,282.24,552.674,1.402
2003-03,10.62,162.22,58.33,14.607,166.337,7.05,274.473,522.378,1.552
2003-04,11.73,142.983,54.81,14.062,162.813,5.38,256.71,483.997,1.502
2003-05,12.15,151.034,64.1,14.16,163.891,5.7,268.788,463.181,1.552
2003-06,13,149.762,65.28,14.633,162.635,6.08,290.45,417.334,1.502
2003-07,13.84,168.686,78.39,14.76,174.308,5.45,334.209,475.686,1.552
2003-08,12.73,157.671,79.05,14.674,171.772,5.23,341.819,478.282,1.552
2003-09,10.24,150.827,75.16,14.437,164.17,5.12,306.59,469.299,1.502
2003-10,10.72,149.018,73.07,14.431,169.075,4.98,277.38,503.444,1.552
2003-11,11.65,152.721,56.45,13.908,166.306,4.85,262.977,506.749,1.502
2003-12,11.26,167.288,54.23,15.164,177.447,5.69,293.836,552.168,1.552
2004-01,11.08,195.17976,54.91,15.493,183.985,6.37,307.856,578.694,1.737
2004-02,11.41,181.20009,51.61,14.522,168.663,5.76,286.433,550.599,1.625
2004-03,10.98,233.75605,64.09,14.954,175.736,5.5,278.182,531.163,1.737
2004-04,10.23,172.48048,61.91,14.075,175.957,5.74,262.851,492.555,1.681
2004-05,10.86,146.05223,68.07,14.619,169.777,6.3,279.036,466.806,1.737
2004-06,11.91,194.71728,67.23,14.709,171.743,6.52,307.772,463.692,1.681
2004-07,12.39,162.44654,74.65,15.32,183.591,6.24,333.907,462.569,1.737
2004-08,12.16,137.34608,73.73,15.116,179.526,5.97,330.927,477.763,1.737
2004-09,11.97,185.55862,74.39,14.345,171.017,5.39,308.566,471.124,1.681
2004-10,11.48,171.47809,63.26,15.308,179.681,6.05,281.737,498.421,1.737
2004-11,11.26,129.42022,55.87,14.582,173.661,6.71,270.163,513.529,1.681
2004-12,10.08,156.32957,55.31,15.104,187.914,6.88,300.05,558.647,1.737
2005-01,10.85,182.47482,54.75,15.391,185.551,6.72,309.079,558.617,1.944
2005-02,11.21,170.80961,53.61,13.222,175.761,6.42,279.514,507.415,1.755
2005-03,10.44,175.47367,56.41,14.912,180.584,6.84,286.791,514.371,1.944
2005-04,10.91,165.90882,59.46,14.648,171.578,7.27,264.168,478.933,1.881
2005-05,11.19,215.00132,65.05,15.513,176.617,6.83,273.5,452.203,1.944
2005-06,12.5,224.85595,65.23,15.257,173.219,7.08,319.381,416.904,1.881
2005-07,13.16,223.29736,76.83,15.596,182.702,7.57,355.514,411.479,1.944
